id,title,description,availability,condition,price,link,image_link,brand
37571063,Jeep WRANGLER SPORT  2018,"Jeep WRANGLER SPORT  2018
KM: 135207",in stock,used,21995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-sport/jeep-wrangler-sport-2018-id37571063,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-sport/2018/37571063/37571063_05765_2018-jeep-wrangler-sport_001.jpg,Kennebec Dodge Chrysler
37553808,Jeep GRAND CHEROKEE LIMITED  2016,"Jeep GRAND CHEROKEE LIMITED  2016
KM: 173222",in stock,used,13995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/grand-cherokee-limited/jeep-grand-cherokee-limited-2016-id37553808,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/grand-cherokee-limited/2016/37553808/37553808_04976_2016-jeep-grand-cherokee-limited_001.jpg,Kennebec Dodge Chrysler
37476810,Jeep Wrangler 4xe Willys 2024,"Jeep Wrangler 4xe Willys 2024
KM: 48106",in stock,used,43995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-4xe/jeep-wrangler-4xe-2024-id37476810,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-4xe/2024/37476810/37476810_02578_2024-jeep-wrangler-4xe_002.jpg,Kennebec Dodge Chrysler
37476808,Jeep COMPASS SPORT  2024,"Jeep COMPASS SPORT  2024
KM: 16431",in stock,used,26995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/compass-sport/jeep-compass-sport-2024-id37476808,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/compass-sport/2024/37476808/37476808_07854_2024-jeep-compass-sport_001.png,Kennebec Dodge Chrysler
37476811,Jeep WRANGLER SPORT  2024,"Jeep WRANGLER SPORT  2024
KM: 23599",in stock,used,36995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-sport/jeep-wrangler-sport-2024-id37476811,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-sport/2024/37476811/37476811_02174_2024-jeep-wrangler-sport_001.png,Kennebec Dodge Chrysler
37423469,Jeep WAGONEER SERIES II BLANC 2023,"Jeep WAGONEER SERIES II BLANC 2023
KM: 44002",in stock,used,67995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wagoneer-series-ii/jeep-wagoneer-series-ii-2023-id37423469,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wagoneer-series-ii/2023/37423469/37423469_08913_2023-jeep-wagoneer-series-ii_001.png,Kennebec Dodge Chrysler
37110016,Jeep WRANGLER  2022,"Jeep WRANGLER  2022
KM: 160000",in stock,used,41995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler/jeep-wrangler-2022-id37110016,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler/2022/37110016/37110016_05857_2022-jeep-wrangler_001.png,Kennebec Dodge Chrysler
37400662,Jeep WRANGLER UNLIMITED SPORT  2020,"Jeep WRANGLER UNLIMITED SPORT  2020
KM: 84872",in stock,used,31995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/wrangler-unlimited-sport/jeep-wrangler-unlimited-sport-2020-id37400662,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/wrangler-unlimited-sport/2020/37400662/37400662_06760_2020-jeep-wrangler-unlimited-sport_001.png,Kennebec Dodge Chrysler
37368828,Jeep RENEGADE TRAILHAWK  2017,"Jeep RENEGADE TRAILHAWK  2017
KM: 62849",in stock,used,17995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/renegade-trailhawk/jeep-renegade-trailhawk-2017-id37368828,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/renegade-trailhawk/2017/37368828/37368828_05005_2017-jeep-renegade-trailhawk_001.png,Kennebec Dodge Chrysler
37058435,Jeep GRAND CHEROKEE LIMITED  2019,"Jeep GRAND CHEROKEE LIMITED  2019
KM: 76301",in stock,used,27995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/jeep/grand-cherokee-limited/jeep-grand-cherokee-limited-2019-id37058435,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/jeep/grand-cherokee/2019/37058435/37058435_05129_2019-jeep-grand-cherokee_001.png,Kennebec Dodge Chrysler
